file_name;classes;text;bow_preproc;gboed_preproc;gboed_freq_class;gboed_dist_class
1711304.txt;concedido;Gostaria de saber o quantitativo de cargos vagos de Analista de Finanças e Controle da CGU, por áreas (Auditoria e Fiscalização - Geral, Auditoria e Fiscalização - Infraestrutura, Correição, Ouvidoria, etc.);gost sab carg vag anal financ control cgu are auditor geral auditor correica ouvidor etc;<gostaria><DT> de <saber><DT> o <quantidade><PT> de <cargos efetivos><PT> de <auditor federal de finanças e controle><PT> da cgu por <cadastro><PT> auditoria e fiscalização geral auditoria e fiscalização infraestrutura <comissão de sindicância><NT> <ouvidoria><PT> etc .;concedido;concedido
1740538.txt;concedido;Informar como se pode incluir mais anexos ao pedido ja efetuado;inform pod inclu anex ped efetu;<informar><DT> como se pode incluir mais <anexo><PT> ao <pedidos><PT> ja efetuado .;concedido;concedido
1857492.txt;concedido;Acesso a relação/consulta das pessoas politicamente expostas;acess pesso expost;<acesso><DT> a relação <consultar><DT> <cargos efetivos><PT> <pessoas expostas politicamente><PT> .;concedido;concedido
1682294.txt;concedido;Solicito copia de todos os documentos preparatorios (entende-se pela lei todos os documento utilizados como fundamento da tomada de decisão ou de ato administrativo, a exemplo de pareceres e notas técnicas) para a elaboracao da Medida Provisoria 703. Solicita-se ainda todos os oficios expedidos pelo ministro em 2015 que tratem do tema.;solicit cop entend lei document tom decisa ato exempl parec not tecnic med solicit ofici exped ministr trat tem;<solicito><DT> copia de todos os <procedimentos de caráter preparatório><NT> entende se pela lei todos os documento utilizados como <fundamentação><PT> da tomada de <decisão><PT> ou de ato administrativo a exemplo de pareceres e <documentos de fiscalização><NT> para a elaboracao da <multas><PT> provisoria 703  <solicito><DT> ainda todos os oficios expedidos pelo ministro em 2015 que tratem do <agenda><PT> .;concedido;concedido
1867536.txt;concedido;Prezados,  Tenho utilizado bastante a seção de Busca de pedidos e respostas do portal de Acesso à Informação da CGU. Contudo, nem sempre consigo realizar pesquisa por filtros disponibilizados. Além disso, à medida que se avança nas páginas de resposta, ocorre uma inconstância de dados. Por exemplo, na página 10, aparece respostas com datas de novembro de 2015 e na seguinte, página 11, com data de abril de 2016.  A fim de evitar pesquisas duplicadas e mesmo ter maior acesso a informações produzidas pelo Itamaraty, busco utilizar esse canal de Busca a realizar pedido diretamente ao órgão. Por isso, agradeceria contar com melhores funcionalidades na ferramenta de pesquisa, uma vez que baixar as respostas inviabiliza ter acesso aos anexos disponibilizados pelo Ministério das Relações Exteriores. Muito obrigado!;prez tenh utiliz seca busc ped respost portal acess cgu realiz pesquis filtr med avanc pagin respost ocorr dad exempl pagin aparec respost dat novembr seguint pagin dat abril fim evit pesquis ter maior acess itamaraty busc utiliz canal busc realiz ped orga cont melhor pesquis vez baix respost ter acess anex relaco obrig;prezados tenho utilizado bastante a seção de <pedidos><PT> e <resposta><PT> do <portal de transparência><PT> de <acesso><DT> à informação da cgu . contudo nem sempre consigo realizar pesquisa por filtros disponibilizados . além disso à <multas><PT> que se avança nas páginas de <resposta><PT> ocorre uma inconstância de dados . por exemplo na página 10 aparece <resposta><PT> com datas de novembro de 2015 e na seguinte página 11 com <data de atualização><PT> de abril de 2016  a fim de evitar pesquisas duplicadas e mesmo ter maior <acesso><DT> a informações produzidas pelo itamaraty busco utilizar esse <cadastro><PT> de busca a realizar <pedidos><PT> diretamente ao <órgãos><PT> . por isso agradeceria contar com melhores funcionalidades na ferramenta de pesquisa uma vez que baixar as <resposta><PT> inviabiliza ter <acesso><DT> aos <anexo><PT> disponibilizados pelo ministério <cargos efetivos><PT> relações exteriores . muito obrigado .;concedido;concedido
1710772.txt;concedido;  Obter informações para resposta ao TCU;obter respost tcu;obter informações para <resposta><PT> ao tcu .;neutro;neutro
1778667.txt;concedido;"Prezados,  Sou mestranda em administração pública pela Fundação Getúlio Vargas e gostaria de realizar uma pesquisa sobre gestão da informação e lei de acesso a informação com um grupo específico de servidores públicos federais.  Com base nisso, gostaria de utilizar o estudo realizado em 2011 pelo Phd. Roberto da Matta sobre ""Diagnóstico sobre valores, conhecimento e cultura de acesso à informação pública no Poder Executivo Federal Brasileiro"" como uma das referências bibliográficas para o meu trabalho.  Verifiquei que no site da CGU possui apenas o sumário executivo (conforme anexo). Desta forma, gostaria de receber o estudo completo para melhor subsidiar o meu trabalho.  Obrigada,";prez sou mestrand public fundaca getuli varg gost realiz pesquis gesta lei acess grup public feder bas gost utiliz estud realiz phd robert matt valor cultur acess public pod execut federal trabalh sit cgu possu sumari execut anex form gost receb estud complet subsidi trabalh obrig;prezados sou mestranda em administração pública pela fundação getúlio vargas e <gostaria><DT> de realizar uma pesquisa sobre gestão da informação e lei de <acesso><DT> a informação com um grupo específico de <profissionais><PT> públicos federais . com base nisso <gostaria><DT> de utilizar o estudo realizado em 2011 pelo phd . roberto da matta sobre    diagnóstico sobre <valor><PT> conhecimento e cultura de <acesso><DT> à informação pública no poder executivo federal brasileiro    como uma <cargos efetivos><PT> referências bibliográficas para o meu <ações><PT> . verifiquei que no site da cgu possui apenas o sumário executivo conforme <anexo><PT> . desta <formato digital><PT> <gostaria><DT> de receber o estudo completo para melhor subsidiar o meu <ações><PT> . obrigada .;concedido;concedido
1803678.txt;concedido;... EU GOSTARIA DE ENTENDER O PORQUÊ NÃO EXISTEM INFORMAÇÕES SOBRE A REMUNERAÇÃO DO ATUAL PRESIDENTE DO TCU NO SÍTIO ELETRÔNICO DE ACESSO A INFORMAÇÃO DO GOVERNO FEDERAL NO PORTAL DA TRANSPARÊNCIA!;gost entend exist atual tcu siti acess govern federal portal;eu <gostaria><DT> de entender o porquê não existem informações sobre a <remuneração><PT> do atual presidente do tcu no sítio eletrônico de <acesso><DT> a informação do governo federal no <portal de transparência><PT> da transparência .;concedido;concedido
1747496.txt;concedido;Considerando-se o disposto no inciso II e no § 2º do Artigo 30 da Lei Federal nº 12.527/2011 (Lei de Acesso à Informação - LAI) (http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2011/lei/l12527.htm), segundo os quais:  Art. 30.  A autoridade máxima de cada órgão ou entidade publicará, anualmente, em sítio à disposição na internet e destinado à veiculação de dados e informações administrativas, nos termos de regulamento:  II - rol de documentos classificados em cada grau de sigilo, com identificação para referência futura,  § 2o  Os órgãos e entidades manterão extrato com a lista de informações classificadas, acompanhadas da data, do grau de sigilo e dos fundamentos da classificação.  E, considerando-se o disposto no inciso II do Artigo 45 do Decreto Federal nº 7.724/2012 (http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/Decreto/D7724.htm), segundo o qual:  Art. 45.  A autoridade máxima de cada órgão ou entidade publicará anualmente, até o dia 1° de junho, em sítio na Internet: II - rol das informações classificadas em cada grau de sigilo, que deverá conter: a) código de indexação de documento,  b) categoria na qual se enquadra a informação,  c) indicação de dispositivo legal que fundamenta a classificação, e d) data da produção, data da classificação e prazo da classificação,  SOLICITAMOS o(s) endereço(s) eletrônico(s) onde podem ser acessadas as publicações atualizadas contendo o ROL DAS INFORMAÇÕES CLASSIFICADAS EM CADA GRAU DE SIGILO pelos órgãos que compõe este ente governamental. Caso as publicações solicitadas não estejam publicadas na Internet e/ou não disponham de links para acesso, solicitamos então o conteúdo completo das referidas publicações em arquivo eletrônico.  São Paulo, aos 02 de março de 2016   Rede pela Transparência e Participação Social - RETPS retps.org.br / retps@retps.org.br ;dispost incis artig lei federal lei acess lai http art maxim orga entidad public siti internet destin dad term rol grau sigil futur orga entidad mantera extrat list dat grau sigil dispost incis artig decret federal http art maxim orga entidad public dia junh siti internet rol grau sigil dev cont codig indexaca document categor enquadr indicaca legal dat produca dat praz enderec pod ser acess cont rol grau sigil orga compo ente estej internet eou disponh links acess conteud complet refer arquiv sao paul marc red social retps retps;considerando se o disposto no <artigos><PT> ii e no § 2º do <artigos><PT> 30 da lei federal nº 12 527 2011 lei de <acesso><DT> à informação lai http   www planalto gov br ccivil 03  ato2011 2014 2011 lei l12527 htm segundo os <qual><DT> art . 30  a autoridade máxima de cada <órgãos><PT> ou entidade publicará anualmente em sítio à disposição na internet e destinado à veiculação de dados e informações administrativas nos termos de regulamento ii rol de documentos <classificar><PT> em cada grau de <sigilo><NT> com identificação para referência futura § 2o os <órgãos><PT> e entidades manterão <como proceder><PT> com a <lista><DT> de informações <classificar><PT> acompanhadas da <data de atualização><PT> do grau de <sigilo><NT> e dos fundamentos da classificação . e considerando se o disposto no <artigos><PT> ii do <artigos><PT> 45 do <norma><PT> federal nº 7 724 2012 http   www planalto gov br ccivil 03  ato2011 2014 2012 <norma><PT> d7724 htm segundo o <qual><DT> art . 45  a autoridade máxima de cada <órgãos><PT> ou entidade publicará anualmente até o <data de posse><PT> 1° de junho em sítio na internet ii rol <cargos efetivos><PT> informações <classificar><PT> em cada grau de <sigilo><NT> que deverá conter a código de indexação de documento b categoria na <qual><DT> se enquadra a informação c indicação de dispositivo <norma><PT> que fundamenta a classificação e d <data de atualização><PT> da produção <data de atualização><PT> da classificação e <prorrogação de prazo><PT> da classificação <solicito><DT> o s <par><NT> s eletrônico s <aonde><DT> podem ser acessadas as publicações atualizadas contendo o rol <cargos efetivos><PT> informações <classificar><PT> em cada grau de <sigilo><NT> pelos <órgãos><PT> que compõe este ente governamental . caso as publicações solicitadas não estejam publicadas na internet e ou não disponham de links para <acesso><DT> <solicito><DT> então o conteúdo completo <cargos efetivos><PT> referidas publicações em arquivo eletrônico . são paulo aos 02 de março de 2016 rede pela transparência e participação social retps retps org br retps retps org br .;concedido;concedido
1756161.txt;concedido;Boa Noite,   Gostaria de saber a data de avaliação dos portais da transparência do municípios, nesse ano de 2016.  Obrigado.;boa noit gost sab dat avaliaca port ano obrig;boa noite <gostaria><DT> de <saber><DT> a <data de atualização><PT> de <valor><PT> dos <portal de transparência><PT> da transparência do <municípios><PT> nesse ano de 2016  obrigado .;concedido;concedido
1825268.txt;concedido;Não recebi nenhuma resposta acerca dos presentes autos, ;receb respost present aut;não recebi nenhuma <resposta><PT> acerca dos presentes autos .;neutro;neutro
1764423.txt;concedido;Solicito, por gentileza, o envio do Termo de Referência do contrato nº 15/2015, que tem como objeto a contratação de empresa especializada na prestação de serviço de vigilância patrimonial. ;solicit gentil envi term contrat tem objet empres prestaca servic;<solicito><DT> por gentileza o <solicito><DT> do termo de referência do <contrato><PT> nº 15 2015 que <tem como><DT> objeto a contratação de empresa especializada na prestação de serviço de vigilância patrimonial .;concedido;concedido
1703840.txt;concedido;Ilmo. Sr. Chefe da Unidade Regional da CGU/Rondônia PORTO VELHO - RO  Senhor Chefe,   Requeiro a V.S., Vistas/Cópias ao relatório/processo CGU/Rondônia registrado sob o nº 201503911.  Aguardo deferimento, ;ilmo sr chef unidad regional port velh senhor chef requeir vs aguard;ilmo . sr  chefe da unidade regional da cgu rondônia porto velho ro senhor chefe <requerer><DT> a v s  <informar><DT> cópias ao relatório processo cgu rondônia registrado sob o nº 201503911  aguardo deferimento .;neutro;neutro
1756507.txt;concedido;Bom dia! Gostaria de saber se está previsto para que, ainda este ano seja lançado um edital para concurso público de técnico de finanças e controle da CGU. Desde já agradeço.  Atenciosamente.  Luan Rocha;dia gost sab previst ano lanc edital concurs public tecnic financ control cgu agradec luan roch;bom <data de posse><PT> . <gostaria><DT> de <saber><DT> se está previsto para que ainda este ano seja lançado um <edital><PT> para <concurso><PT> de técnico de finanças e controle da cgu . desde já agradeço . atenciosamente . luan rocha .;concedido;concedido
1755805.txt;concedido;Prezados,  O Ouvidor-Geral Adjunto da União e representante do MRE realizaram reunião, em 02/02/2016, entre às 14h e 16h, conforme o seguinte link: http://formulario.cgu.gov.br/agendas/ouvidoria-geral-da-uniao/ouvidor-geral-adjunto-da-uniao-gilberto-waller/2016/02/reuniao-interna-20160202-140-160. A respeito, gostaria de ter acesso ao conteúdo do encontro, isto é: a) quais temas foram tratados? b) houve relato da reunião?  b.1) se sim, qual seu conteúdo? c) houve produção de algum documento? c.1) se sim, qual seu conteúdo?  Muito obrigado!;prez ouvidor geral adjunt unia mre reunia seguint link http geral geral adjunt unia gilbert intern respeit gost ter acess conteud encontr tem for trat houv relat reunia conteud houv produca document conteud obrig;prezados o ouvidor geral adjunto da união e representante do mre realizaram reunião em 02 02 2016 entre às 14h e 16h conforme o seguinte <link><PT> http   formulario cgu gov br agendas <ouvidoria><PT> geral da uniao ouvidor geral adjunto da uniao gilberto waller 2016 02 reuniao interna 20160202 140 160 . a respeito <gostaria><DT> de ter <acesso><DT> ao <agenda><PT> isto é a <qual><DT> temas foram tratados . b houve relato da reunião . b 1 se sim <qual><DT> seu conteúdo . c houve produção de algum documento . c 1 se sim <qual><DT> seu conteúdo . muito obrigado .;concedido;concedido
1758194.txt;concedido;Prezado(a) Sr(a) Gentileza informar, para os anos de 2013 a 2015, a meta anual planejada e o anualmente executado para: I - esforço, por ação ou horas de trabalho ou analista, destinado ao Programa de Fiscalização em Entes Federativos, II - realização de ações de correição  no ambito deste órgão, III - esforço, por ação ou hora de trabalho, de orientação preventiva aos gestores públicos. Favor fornecer documentos que comprovem o estabelecimento das metas anuais e o resultado anual dos indicadores informados.  Att.  FERNANDA FIGUEIREDO;prez gentil inform anos met anual planej execut esforc aca hor trabalh anal destin program entes aco correica ambit orga iii esforc aca hor trabalh gestor public favor fornec comprov met anu result anual att fernand;prezado a sr a <informar><DT> para os anos de 2013 a 2015 a <meta><PT> planejada e o anualmente executado para i esforço por ação ou <banco de horas><PT> ou <auditor federal de finanças e controle><PT> destinado ao <programa de fiscalização><PT> em entes federativos ii realização de <ações><PT> de <comissão de sindicância><NT> no ambito deste <órgãos><PT> iii esforço por ação ou hora de <ações><PT> de orientação preventiva aos gestores públicos . <favor><DT> fornecer documentos que comprovem o estabelecimento <cargos efetivos><PT> <meta><PT> e o <resultado><PT> dos <valor><PT> informados . att . fernanda figueiredo .;concedido;concedido
1849032.txt;concedido;Há interesse do orgao em realizar concurso público para analista? Qual a previsão de concurso público para Analista?;inter orga realiz concurs public anal previsa concurs public anal;<existe><DT> interesse do <órgãos><PT> em realizar <concurso><PT> para <auditor federal de finanças e controle><PT> . <qual><DT> a previsão de <concurso><PT> para <auditor federal de finanças e controle><PT> .;concedido;concedido
1841329.txt;concedido;Solicito, em meio eletrônico se possível, o Relatório Final da Comissão de PAD, o Parecer nº 00329/2015 da ASJUR, o Despacho 00728/2015 da ASJUR e a Decisão de 18/01/2016, todos no âmbito do Processo nº 00209.000397/2009-40.;solicit mei possivel relatori final comissa pad parec asjur despach asjur decisa ambit process;<solicito><DT> em <cadastro><PT> eletrônico se possível o <relatório de auditoria><NT> de <pad's><NT> o parecer nº 00329 2015 da asjur o despacho 00728 2015 da asjur e a <decisão><PT> de 18 01 2016 todos no âmbito do processo nº 00209 000397 2009 40 .;neutro;concedido
1745264.txt;concedido;Prova de Regularidade emitida quanta a ausencia de sanções aplicadas a empresa que a proibam de contratar com qualquer orgão  ou entidade da Administração Publica do Governo Federal;prov emit ausenc sanco aplic empres proib contrat orga entidad public govern federal;<certidão><PT> emitida <quanto><DT> a ausencia de <multas><PT> aplicadas a empresa que a proibam de contratar com qualquer orgão ou entidade da administração publica do governo federal .;concedido;concedido
1777939.txt;concedido;Boa tarde!  Preciso de ajuda para encontrar as receitas e despesas do ano de 2014. E também como é feita a distribuição das receitas da União para os estados.   Atenciosamente Karine;boa tard precis ajud encontr receit despes ano feit receit unia estad karin;boa tarde . <preciso de ajuda><DT> para encontrar as <receitas><PT> e <despesas><PT> do ano de 2014  e também como é feita a distribuição <cargos efetivos><PT> <receitas><PT> da união para os estados . atenciosamente karine .;concedido;concedido
